source_index,report_id,indicator_id,original_status,original_value,original_unit,original_evidence_quote,original_page_no,original_block_id,final_status,final_value,final_unit,final_qualitative_text,final_evidence_quote,final_page_no,final_block_id,final_block_type,rationale,reviewer,reviewed_at
54,300149_睿智医药_2025_ESG报告,s_human_rights,error,true,,公司严格遵守《劳动法》等法律法规，制定《反强迫劳动与合规用工管理制度》等内部制度，确保员工健康和安全的工作环境。,26,300149_睿智医药_2025_ESG报告:p26:b6,found,true,,公司严格遵守《劳动法》《劳动合同法》《妇女权益保障法》《禁止使用童工规定》等法律法规，制定并持续完善《招聘管理制度》《人才推荐奖励管理细则》《员工手册》《反强迫劳动与合规用工管理制度》等内部制度，确保员工健康和安全的工作环境。,公司严格遵守《劳动法》《劳动合同法》《妇女权益保障法》《禁止使用童工规定》等法律法规，制定并持续完善《招聘管理制度》《人才推荐奖励管理细则》《员工手册》《反强迫劳动与合规用工管理制度》等内部制度，确保员工健康和安全的工作环境。,26,300149_睿智医药_2025_ESG报告:p26:b6,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
55,300149_睿智医药_2025_ESG报告,g_independent_director_ratio,error,50,%,董事会成员人数 人 6 6 独立董事人数 人 3 3,40,300149_睿智医药_2025_ESG报告:p40:b1,missing,,,,,,,,候选块披露董事及独立董事人数，但未直接披露50%比例；禁止人工计算比例。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
56,300212_易华录_2025_ESG报告,s_compensation_benefits,error,,,完善薪酬福利体系...员工福利体系：法定福利、津贴福利、健康福利、工会福利、休假福利...为女职工提供公平的...薪酬福利...机会。,38,300212_易华录_2025_ESG报告:p38:b10,found,,,"法定福利\n社会保险\n住房公积金""] --> B[""津贴福利\n资质类证书补贴\n高温津贴\n交通补贴\n工作餐补贴","法定福利\n社会保险\n住房公积金""] --> B[""津贴福利\n资质类证书补贴\n高温津贴\n交通补贴\n工作餐补贴",38,300212_易华录_2025_ESG报告:p38:b10,image,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
57,300212_易华录_2025_ESG报告,g_anti_corruption,error,true,,公司严格遵守《关于禁止商业贿赂行为的暂行规定》等法律法规，制定《领导干部廉洁自律学习办法》等制度，建立以纪委为核心的监督管理体系，常态化开展反商业贿赂宣贯。,18,300212_易华录_2025_ESG报告:p18:b15,found,true,,公司严格遵守《关于禁止商业贿赂行为的暂行规定》等法律法规，制定《领导干部廉洁自律学习办法》《领导干部述职述廉办法》等制度，坚持制度约束、教育引导与监督问责相结合，强化重点领域和关键岗位廉洁风险管控。公司建立以纪委为核心的监督管理体系，聚焦“,公司严格遵守《关于禁止商业贿赂行为的暂行规定》等法律法规，制定《领导干部廉洁自律学习办法》《领导干部述职述廉办法》等制度，坚持制度约束、教育引导与监督问责相结合，强化重点领域和关键岗位廉洁风险管控。公司建立以纪委为核心的监督管理体系，聚焦“一把手”及领导班子成员履职用权关键环节细化监督举措，通过签署合规廉洁承诺、常态化,18,300212_易华录_2025_ESG报告:p18:b15,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
58,300261_雅本化学_2025_ESG报告,e_ghg_total,error,"69,477.00",吨二氧化碳当量,"2025年 温室气体排放总量(范围1&2)(吨二氧化碳当量) | 69,477.00",25,300261_雅本化学_2025_ESG报告:p25:b26,found,"69,477.00",吨二氧化碳当量,,"温室气体排放总量(范围1&2)(吨二氧化碳当量) | 85,021.70 | 69,477.00",25,300261_雅本化学_2025_ESG报告:p25:b26,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
59,300261_雅本化学_2025_ESG报告,g_audit_committee,error,true,,"监督层 | 董事会及其审计委员会 | · 审计委员会:在董事会授权下,负责监督及评估内外部审计工作与内部控制的有效性",43,300261_雅本化学_2025_ESG报告:p43:b6,found,true,,"监督层 | 董事会及其审计委员会 | · 董事会:对公司内部控制制度的建立健全和有效实施承担最终责任。· 审计委员会:在董事会授权下,负责监督及评估内外部审计工作与内部控制的有效性;领导并督导审计部的工作,审阅其报告,就内部控制有效性出具评","监督层 | 董事会及其审计委员会 | · 董事会:对公司内部控制制度的建立健全和有效实施承担最终责任。· 审计委员会:在董事会授权下,负责监督及评估内外部审计工作与内部控制的有效性;领导并督导审计部的工作,审阅其报告,就内部控制有效性出具评估意见。",43,300261_雅本化学_2025_ESG报告:p43:b6,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
60,300376_易事特_2025_可持续发展报告,s_training,error,"24,523",人次,"接受培训总人次 | 人次 | 8,465 | 23,993 | 24,523 员工培训覆盖率(员工培训参与率) | % | 100 | 100 | 100 每名员工每年接受培训平均时长 | 小时/人 | 58.05 | 30.23 | 30.63",60,300376_易事特_2025_可持续发展报告:p60:b1,found,"24,523",人次,,"接受培训总人次 | 人次 | 8,465 | 23,993 | 24,523",60,300376_易事特_2025_可持续发展报告:p60:b1,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
61,300597_吉大通信_2025_ESG报告,g_cybersecurity_governance,error,,,公司建立了完善的信息安全管理体系，通过制定并实施《吉大通信信息安全、信息技术服务管理手册》《吉大通信网络安全管理规范》等一系列制度文件，为信息安全工作提供坚实的制度保障。,60,300597_吉大通信_2025_ESG报告:p60:b17,found,,,公司建立了完善的信息安全管理体系，通过制定并实施《吉大通信信息安全、信息技术服务管理手册》《吉大通信网络安全管理规范》《吉大通信信息安全事件管理规范》《吉大通信数据安全管理规范》等一系列制度文件，为信息安全工作提供坚实的制度保障。,公司建立了完善的信息安全管理体系，通过制定并实施《吉大通信信息安全、信息技术服务管理手册》《吉大通信网络安全管理规范》《吉大通信信息安全事件管理规范》《吉大通信数据安全管理规范》等一系列制度文件，为信息安全工作提供坚实的制度保障。,60,300597_吉大通信_2025_ESG报告:p60:b17,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
62,300832_新产业_2025_ESG报告,g_materiality_assessment,error,,,重要性议题矩阵：负责任营销、职业健康与安全、信息安全与隐私保护等议题在影响重要性和财务重要性上均被评估为高或中等级别。,10,300832_新产业_2025_ESG报告:p10:b0,found,,,| ⑫ 负责任营销<br>⑮ 职业健康与安全<br>⑬ 信息安全与隐私保护 | 高 | 高 |,| ⑫ 负责任营销<br>⑮ 职业健康与安全<br>⑬ 信息安全与隐私保护 | 高 | 高 |,10,300832_新产业_2025_ESG报告:p10:b0,chart,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
63,300834_星辉环材_2025_ESG报告,g_esg_governance,error,true,,ESG管理架构：董事会决策层全面决策公司与ESG相关的重大事项...战略委员会管理层负责统筹协调...证券部执行层负责执行ESG报告的信息采集...,9,300834_星辉环材_2025_ESG报告:p9:b6,found,true,,"Level11[""全面决策公司与ESG相关的重大事项，统筹公司与ESG相关议题的资源配置，监督公司ESG治理实践的落地，负责审议和批准公司的ESG管理制度，审定公司ESG相关披露文件。""]","Level11[""全面决策公司与ESG相关的重大事项，统筹公司与ESG相关议题的资源配置，监督公司ESG治理实践的落地，负责审议和批准公司的ESG管理制度，审定公司ESG相关披露文件。""]",9,300834_星辉环材_2025_ESG报告:p9:b6,image,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
64,300982_苏文电能_2025_ESG报告,s_safety,error,,,苏文电能高度重视安全生产工作，严格遵守《中华人民共和国安全生产法》等相关法律法规，制定《EHS 综合管理手册》《安全生产管理规定》等制度文件，建立安全生产管理体系并落实安全责任制。,60,300982_苏文电能_2025_ESG报告:p60:b2,found,,,安全生产工作，严格遵守《中华人民共和国安全生产法》《中华人民共和国消防法》《中华人民共和国职业病防治法》等相关法律法规，制定《EHS 综合管理手册》《安全生产管理规定》等制度文件，建立安全生产管理体系并落实安全责任制。公司成立安全管理委员会,安全生产工作，严格遵守《中华人民共和国安全生产法》《中华人民共和国消防法》《中华人民共和国职业病防治法》等相关法律法规，制定《EHS 综合管理手册》《安全生产管理规定》等制度文件，建立安全生产管理体系并落实安全责任制。公司成立安全管理委员会，法定代表人担任安全生产第一责任人，全面统筹推进职业病防治及各项安全生产相关工作,60,300982_苏文电能_2025_ESG报告:p60:b2,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
65,300982_苏文电能_2025_ESG报告,g_materiality_assessment,error,,,公司根据《深圳证券交易所上市公司自律监管指引第17号——可持续发展报告（试行）》《GRI3：实质性议题》等国内外披露标准的评估方法，按照双重重要性评估流程，从“财务重要性”及“影响重要性”两个维度开展议题分析，共鉴别出23项重要性议题，并在报告中予以回应。,15,300982_苏文电能_2025_ESG报告:p15:b1,found,,,3：实质性议题》《国际财务报告可持续披露准则第1号——可持续相关财务信息披露一般要求》（IFRSS1）等国内外披露标准的评估方法，按照双重重要性评估流程，从“财务重要性”及“影响重要性”两个维度开展议题分析，共鉴别出23项重要性议题，其中双,3：实质性议题》《国际财务报告可持续披露准则第1号——可持续相关财务信息披露一般要求》（IFRSS1）等国内外披露标准的评估方法，按照双重重要性评估流程，从“财务重要性”及“影响重要性”两个维度开展议题分析，共鉴别出23项重要性议题，其中双重重要性议题4项，财务重要性议题5项，影响重要性议题12项，并在报告中予以回应。,15,300982_苏文电能_2025_ESG报告:p15:b1,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
66,301019_宁波色母_2025_可持续发展报告,s_product_quality,error,,,公司致力于为客户提供优质的产品与服务，坚持产品全生命周期质量管理，制定《化学有害物质管理手册》《不合格品管制程序》等多项产品质量相关管理制度，按照产品标准从设计研发、原材料采购、生产，到成品检测、仓储、交付，开展质量监督管理。,31,301019_宁波色母_2025_可持续发展报告:p31:b0,found,,,化学有害物质管理手册》《不合格品管制程序》《产品设计开发程序》《客户满意度调查控制程序》《客户投诉处理程序》等多项产品质量相关管理制度，按照产品标准从设计研发、原材料采购、生产，到成品检测、仓储、交付，开展质量监督管理，层层把关，严格落实质,化学有害物质管理手册》《不合格品管制程序》《产品设计开发程序》《客户满意度调查控制程序》《客户投诉处理程序》等多项产品质量相关管理制度，按照产品标准从设计研发、原材料采购、生产，到成品检测、仓储、交付，开展质量监督管理，层层把关，严格落实质量管控，确保交付产品符合相关规定与客户要求。公司持续完善质量管理体系与生产批次追,31,301019_宁波色母_2025_可持续发展报告:p31:b0,list,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
67,301073_君亭酒店_2025_ESG报告,g_materiality_assessment,error,,,报告期内，君亭酒店集团依据《深圳证券交易所上市公司自律监管指引第17号——可持续发展报告（试行）》等相关标准，全面开展双重重要性评估工作。,14,301073_君亭酒店_2025_ESG报告:p14:b2,found,,,报告期内，君亭酒店集团依据《深圳证券交易所上市公司自律监管指引第17号——可持续发展报告（试行）》（以下简称《指引》）等相关标准，全面开展双重重要性评估工作。通过从“影响重要性”和“财务重要性”两个维度进行深入分析，系统地评估了ESG议题对,报告期内，君亭酒店集团依据《深圳证券交易所上市公司自律监管指引第17号——可持续发展报告（试行）》（以下简称《指引》）等相关标准，全面开展双重重要性评估工作。通过从“影响重要性”和“财务重要性”两个维度进行深入分析，系统地评估了ESG议题对公司经济、环境和社会的潜在影响，同时充分考虑了各利益相关方的观点和期望，形成重要,14,301073_君亭酒店_2025_ESG报告:p14:b2,paragraph,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
68,301308_江波龙_2025_ESG报告,s_employee_total,error,"4,040",人,"社会 | 员工多元化与包容 | | 雇员总数 | 人 | 4,040",78,301308_江波龙_2025_ESG报告:p78:b1,found,"4,040",人,,"雇员总数 | 人 | 4,040",78,301308_江波龙_2025_ESG报告:p78:b1,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
69,301308_江波龙_2025_ESG报告,e_ghg_scope2,error,"52,223.99",公吨二氧化碳当量,"范围二温室气体排放量 | 公吨二氧化碳当量 | 52,223.99",78,301308_江波龙_2025_ESG报告:p78:b1,found,"52,223.99",公吨二氧化碳当量,,"$范围二温室气体排放量^7$ | 公吨二氧化碳当量 | 52,223.99",78,301308_江波龙_2025_ESG报告:p78:b1,table,候选块直接支持该指标；证据为同一候选块内连续逐字原文。,codex-agent-a,2026-08-23T16:18:18.785641+00:00
70,301370_国科恒泰_2025_ESG报告,s_employee_rights,error,,,员工期望与诉求：多元化与平等民主管理公平薪酬福利体系员工职业发展职业健康安全。沟通与回应方式：保障员工权益倡导民主管理加强员工沟通开展员工培训保护员工健康。,11,301370_国科恒泰_2025_ESG报告:p11:b2,found,,,员工 | 多元化与平等民主管理公平薪酬福利体系员工职业发展职业健康安全 | 保障员工权益倡导民主管理加强员工沟通开展员工培训保护员工健康,员工 | 多元化与平等民主管理公平薪酬福利体系员工职业发展职业健康安全 | 保障员工权益倡导民主管理加强员工沟通开展员工培训保护员工健康,11,301370_国科恒泰_2025_ESG报告:p11:b2,table,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
71,301370_国科恒泰_2025_ESG报告,s_supplier,error,true,,公司制定了《供应商资格审核管理办法》《采购预算与计划管理制度》等管理办法，形成了从供应商筛选、采购计划制定到订单执行的全链条管理体系。,33,301370_国科恒泰_2025_ESG报告:p33:b1,found,true,,公司制定了《供应商资格审核管理办法》《采购预算与计划管理制度》《采购订单执行及交期管理制度》《非业务采购管理制度》《非业务供应商管理制度》等管理办法，形成了从供应商筛选、采购计划制定到订单执行的全链条管理体系，为公司的稳健发展奠定了坚实基础。供应链运营中心作为供应链管理主责部门，通过高效整合内外部资源，确保供应链的顺畅运行与持续优化。,公司制定了《供应商资格审核管理办法》《采购预算与计划管理制度》《采购订单执行及交期管理制度》《非业务采购管理制度》《非业务供应商管理制度》等管理办法，形成了从供应商筛选、采购计划制定到订单执行的全链条管理体系，为公司的稳健发展奠定了坚实基础。供应链运营中心作为供应链管理主责部门，通过高效整合内外部资源，确保供应链的顺畅运行与持续优化。,33,301370_国科恒泰_2025_ESG报告:p33:b1,paragraph,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
72,301522_上大股份_2025_ESG报告,e_waste_total,error,29182.37,吨,"有害废弃物总量 | 吨 | 3.35 无害废弃物总量 | 吨 | 25,829.02",45,301522_上大股份_2025_ESG报告:p45:b3,missing,,,,,,,,"候选仅分别披露有害与无害废弃物，29,182.37 吨是跨分项计算值，并非候选块明确列示的废弃物总量。",codex-agent-b,2026-08-23T16:18:18.785641+00:00
73,301599_理奇智能_2025_ESG报告,s_data_security,error,true,,公司设立了专门的信息安全责任部门，并制定了《商业秘密管理程序》《个人信息保护管理策略》《数据安全管理程序》等一系列制度，构建了覆盖数据全生命周期的管理体系。,16,301599_理奇智能_2025_ESG报告:p16:b24,found,true,,公司设立了专门的信息安全责任部门，并制定了《商业秘密管理程序》《个人信息保护管理策略》《数据安全管理程序》《信息安全合规性管理程序》《文件管理程序》等一系列制度，构建了覆盖数据全生命周期的管理体系。,公司设立了专门的信息安全责任部门，并制定了《商业秘密管理程序》《个人信息保护管理策略》《数据安全管理程序》《信息安全合规性管理程序》《文件管理程序》等一系列制度，构建了覆盖数据全生命周期的管理体系。,16,301599_理奇智能_2025_ESG报告:p16:b24,paragraph,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
74,600009_上海机场_2025_ESG报告,g_party_building,error,true,,上海机场坚持和加强党的全面领导，推进全面从严治党向纵深发展，以高质量党建为加快建设全方位门户复合型国际航空枢纽提供坚强政治保证和组织保证。,12,600009_上海机场_2025_ESG报告:p12:b2,found,true,,上海机场各级党组织健全党委领导作用发挥的制度机制，进一步规范工作流程，在新一轮国资国企改革中切实把方向、管大局、保落实，推动党的领导全面嵌入企业治理各环节、全过程。,上海机场各级党组织健全党委领导作用发挥的制度机制，进一步规范工作流程，在新一轮国资国企改革中切实把方向、管大局、保落实，推动党的领导全面嵌入企业治理各环节、全过程。,12,600009_上海机场_2025_ESG报告:p12:b3,paragraph,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
75,600021_上海电力_2025_ESG报告,e_air_pollutants,error,5574.15,吨,二氧化硫排放总量 吨 5063.09 5574.15 氮氧化物排放总量 吨 12498.65 11896.04 烟尘排放总量 吨 297.82 321.54,46,600021_上海电力_2025_ESG报告:p46:b2,found,5574.15,吨,,各单位三项大气污染物排放达标率99.997% | 二氧化硫排放总量5574.15吨二氧化硫排放浓度0.071克/千瓦时,21,600021_上海电力_2025_ESG报告:p21:b10,table,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
76,600021_上海电力_2025_ESG报告,e_green_office,error,true,,制定《本部大楼低碳办公行动方案》，发布《“节”尽所能，“紧”上添花》绿色办公倡议，推行无纸化办公、无纸化会议。,20,600021_上海电力_2025_ESG报告:p20:b21,found,true,,公司将绿色低碳理念融入日常办公运营全过程，制定《本部大楼低碳办公行动方案》，发布《“节”尽所能，“紧”上添花》绿色办公倡议，开展“世界环境日”“全国低碳日”等环保宣传教育活动，持续降低办公环节的资源消耗与碳排放。2025年春节期间，公司组织开展上电大厦“绿色低碳贺新春”专项节能行动，将传统节日与绿色理念有机结合，营造简约适度、绿色低碳的节日氛围。,公司将绿色低碳理念融入日常办公运营全过程，制定《本部大楼低碳办公行动方案》，发布《“节”尽所能，“紧”上添花》绿色办公倡议，开展“世界环境日”“全国低碳日”等环保宣传教育活动，持续降低办公环节的资源消耗与碳排放。2025年春节期间，公司组织开展上电大厦“绿色低碳贺新春”专项节能行动，将传统节日与绿色理念有机结合，营造简约适度、绿色低碳的节日氛围。,20,600021_上海电力_2025_ESG报告:p20:b21,paragraph,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
77,600199_金种子酒_2025_ESG报告,g_cybersecurity_governance,error,,,公司严格遵循《中华人民共和国网络安全法》等法律法规，制定了《信息安全管理办法》等制度，强化信息合规性管理，重点防控数据泄露、篡改等风险。,16,600199_金种子酒_2025_ESG报告:p16:b2,found,,,公司严格遵循《中华人民共和国网络安全法》《中华人民共和国数据安全法》等数据安全管理法律法规，制定了《信息安全管理办法》《数据管理办法》《信息系统建设安全管理办法》等制度，强化信息合规性管理，重点防控数据泄露、篡改等风险，并通过持续改进机制应对动态安全威胁。,公司严格遵循《中华人民共和国网络安全法》《中华人民共和国数据安全法》等数据安全管理法律法规，制定了《信息安全管理办法》《数据管理办法》《信息系统建设安全管理办法》等制度，强化信息合规性管理，重点防控数据泄露、篡改等风险，并通过持续改进机制应对动态安全威胁。,16,600199_金种子酒_2025_ESG报告:p16:b2,paragraph,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
78,600259_中稀有色_2025_ESG报告,g_risk_management,error,true,,风险管理举措包括风险辨识评估与应对、风险动态监控与台账管理、内审监督与评价、风险文化宣贯。,17,600259_中稀有色_2025_ESG报告:p17:b10,found,true,,"风险辨识评估与应对 | 广泛、持续收集与业务相关的内外部信息,通过风险辨识、分析、评价三个步骤开展评估,并选择规避、降低、分担或承受等相应策略进行应对。","风险辨识评估与应对 | 广泛、持续收集与业务相关的内外部信息,通过风险辨识、分析、评价三个步骤开展评估,并选择规避、降低、分担或承受等相应策略进行应对。",17,600259_中稀有色_2025_ESG报告:p17:b10,table,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
79,600261_阳光照明_2025_ESG报告,g_risk_management,error,true,,公司制定《阳光照明重大信息内部报告制度》等内部规章制度，构建内部控制体系，包括建立风险管理团队、制定风险管理计划、识别和评估风险、采取风险应对措施、监督和改进风险管理等关键环节。,13,600261_阳光照明_2025_ESG报告:p13:b3,found,true,,阳光照明始终将风险内部控制视为企业稳健发展的核心要素，予以高度重视。公司制定《阳光照明重大信息内部报告制度》《阳光照明信息披露制度》《阳光照明内幕信息保密制度》《阳光照明防范控股股东及关联方占用公司资金制度》等内部规章制度，构建内部控制体系，包括建立风险管理团队、制定风险管理计划、识别和评估风险、采取风险应对措施、监督和改进风险管理等关键环节。,阳光照明始终将风险内部控制视为企业稳健发展的核心要素，予以高度重视。公司制定《阳光照明重大信息内部报告制度》《阳光照明信息披露制度》《阳光照明内幕信息保密制度》《阳光照明防范控股股东及关联方占用公司资金制度》等内部规章制度，构建内部控制体系，包括建立风险管理团队、制定风险管理计划、识别和评估风险、采取风险应对措施、监督和改进风险管理等关键环节。,13,600261_阳光照明_2025_ESG报告:p13:b3,paragraph,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
80,600278_东方创业_2025_ESG报告,e_air_pollutants,error,9359.37,kg,"2025年物流集团大气污染物排放情况如下：指标 | 单位 | 物流集团 废气总量 | kg | 9,359.37 二氧化硫( $SO_{2}$ ) | kg | 632.99 氮氧化物( $NO_{x}$ ) | kg | 8,504.27 颗粒物(PM) | kg | 222.11",28,600278_东方创业_2025_ESG报告:p28:b12,found,9359.37,kg,,"废气总量 | kg | 9,359.37",28,600278_东方创业_2025_ESG报告:p28:b12,table,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
81,600331_宏达股份_2025_ESG报告,s_product_quality,error,,,公司质量管理架构：决策层总经理批准质量方针；监督层管理者代表组织建立IATF 16949等体系；执行层质量检测中心制定检验标准；协同层生产部门制定质量控制规范。,27,600331_宏达股份_2025_ESG报告:p27:b5,found,,,"决策层 | 总经理 | 批准公司质量方针、目标及重大质量决策;建立并落实产品质量安全主体责任的长效机制,对全公司产品质量安全负最终责任。","决策层 | 总经理 | 批准公司质量方针、目标及重大质量决策;建立并落实产品质量安全主体责任的长效机制,对全公司产品质量安全负最终责任。",27,600331_宏达股份_2025_ESG报告:p27:b5,table,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
82,600331_宏达股份_2025_ESG报告,g_business_ethics,error,True,,公司将商业道德与合规要求贯穿于采购全过程，携手合作伙伴共同推动供应链的可持续发展。,33,600331_宏达股份_2025_ESG报告:p33:b14,found,true,,宏达股份致力于构建阳光、透明、负责任的供应链生态，积极履行供应链尽责管理义务，已获得矿产供应链尽责管理评估证书。公司建立健全了从供应商准入分类、绩效考核到退出机制的全生命周期管理体系，并将商业道德与合规要求贯穿于采购全过程，携手合作伙伴共同推动供应链的可持续发展。,宏达股份致力于构建阳光、透明、负责任的供应链生态，积极履行供应链尽责管理义务，已获得矿产供应链尽责管理评估证书。公司建立健全了从供应商准入分类、绩效考核到退出机制的全生命周期管理体系，并将商业道德与合规要求贯穿于采购全过程，携手合作伙伴共同推动供应链的可持续发展。,33,600331_宏达股份_2025_ESG报告:p33:b14,paragraph,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
83,600400_红豆股份_2025_ESG报告,s_product_quality,error,,,建立了完善的产品和服务质量安全主体责任体系，严格遵循《红豆男装产品标准》，制定并执行《公司质量监督管理流程》等制度文件，实行质量安全“一票否决”。,20,600400_红豆股份_2025_ESG报告:p20:b3,found,,,公司以打造卓越品质为核心目标，目前已建立了完善的产品和服务质量安全主体责任体系，严格遵循《红豆男装产品标准》，制定并执行《公司质量监督管理流程》《外部质量抽查管理流程》《外协产品检验流程》等制度文件，以及《关于加强产品质量管理相关规定的通知》《关于开展红豆男装门店无次品活动的通知》等管理要求，明确高层领导对产品和服务质量安全负首要责任，公司首席质量官、质量主管对质量安全负直接责任，实行质量安全“一票否决”。公司严把产品质量关，从原辅料到成品全过程的质量检验，在每个生产过程中质控点设立专检人员，要求所有检验人员全部考,公司以打造卓越品质为核心目标，目前已建立了完善的产品和服务质量安全主体责任体系，严格遵循《红豆男装产品标准》，制定并执行《公司质量监督管理流程》《外部质量抽查管理流程》《外协产品检验流程》等制度文件，以及《关于加强产品质量管理相关规定的通知》《关于开展红豆男装门店无次品活动的通知》等管理要求，明确高层领导对产品和服务质量安全负首要责任，公司首席质量官、质量主管对质量安全负直接责任，实行质量安全“一票否决”。公司严把产品质量关，从原辅料到成品全过程的质量检验，在每个生产过程中质控点设立专检人员，要求所有检验人员全部考,20,600400_红豆股份_2025_ESG报告:p20:b3,paragraph,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
84,600400_红豆股份_2025_ESG报告,s_human_rights,error,true,,尊重并维护员工的各项权益，承诺不因民族、种族、年龄、性别、婚姻状况以及宗教信仰等差异给予员工不同待遇，从源头上杜绝强迫劳动、童工和女性就业歧视,25,600400_红豆股份_2025_ESG报告:p25:b7,found,true,,公司建立基于岗位胜任力模型的招聘体系，采用多元化的招聘渠道和科学的测评方法，秉承“公开、公平、公正”的招聘原则，尊重并维护员工的各项权益，承诺不因民族、种族、年龄、性别、婚姻状况以及宗教信仰等差异给予员工不同待遇，所有聘用均签订合法有效的劳动合同，从源头上杜绝强迫劳动、童工和女性就业歧视，坚决杜绝任何形式的用工违法行为与歧视行为，并为员工提供符合法律规定的假期。公司采取双向选择，择优招聘录用，避免任何形式的歧视行为，从而更多引进和留存高质量人才，强化公司实力。,公司建立基于岗位胜任力模型的招聘体系，采用多元化的招聘渠道和科学的测评方法，秉承“公开、公平、公正”的招聘原则，尊重并维护员工的各项权益，承诺不因民族、种族、年龄、性别、婚姻状况以及宗教信仰等差异给予员工不同待遇，所有聘用均签订合法有效的劳动合同，从源头上杜绝强迫劳动、童工和女性就业歧视，坚决杜绝任何形式的用工违法行为与歧视行为，并为员工提供符合法律规定的假期。公司采取双向选择，择优招聘录用，避免任何形式的歧视行为，从而更多引进和留存高质量人才，强化公司实力。,25,600400_红豆股份_2025_ESG报告:p25:b7,paragraph,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
85,600475_华光环能_2025_ESG报告,s_employee_rights,error,,,保障员工权益...劳动合同签单率 100% 社会保险覆盖率 100% 女性产后返岗率 100% 员工满意度 100%,51,600475_华光环能_2025_ESG报告:p51:b27,found,,,劳动合同签单率 | % | 100,劳动合同签单率 | % | 100,51,600475_华光环能_2025_ESG报告:p51:b27,table,候选块直接披露该指标，证据为同一候选块中的连续逐字原文。,codex-agent-b,2026-08-23T16:18:18.785641+00:00
